ts_code,open,high,low,close,change,pct_chg,amount
000953.SZ,4.92,5.03,4.85,4.99,-0.03,-0.5976,8235.602
000955.SZ,5.99,6.01,5.77,5.93,-0.01,-0.1684,70860.948
000957.SZ,6.37,6.37,6.22,6.25,-0.09,-1.4196,28610.834
000958.SZ,4.31,4.36,4.21,4.26,-0.08,-1.8433,42540.747
000959.SZ,5.1,5.2,5.03,5.1,-0.05,-0.9709,127987.509
000960.SZ,13.85,14.85,13.85,14.43,0.8,5.8694,1282229.17
000961.SZ,7.3,7.35,7.17,7.2,0.06,0.8403,276214.863
000962.SZ,8.32,8.65,8.2,8.58,0.28,3.3735,92391.476
000963.SZ,45.31,48.12,45.28,47.0,1.31,2.8671,3866294.456
000965.SZ,2.64,2.65,2.61,2.65,0.01,0.3788,9502.65
000966.SZ,10.5,10.55,9.59,9.59,-1.06,-9.9531,1543016.885
000967.SZ,7.91,7.97,7.85,7.9,-0.01,-0.1264,58347.439
000968.SZ,6.11,6.17,6.02,6.13,-0.02,-0.3252,26000.987
000969.SZ,7.52,7.74,7.38,7.62,0.11,1.4647,178144.648
000970.SZ,9.31,9.37,9.19,9.26,-0.05,-0.5371,102148.796
000971.SZ,2.76,2.92,2.75,2.92,0.14,5.036,29583.969
000972.SZ,1.74,1.83,1.74,1.8,0.06,3.4483,12926.025
000973.SZ,4.14,4.14,4.06,4.1,-0.04,-0.9662,23857.706
000975.SZ,9.07,9.16,9.0,9.1,-0.02,-0.2193,151002.709
000976.SZ,5.6,5.6,5.48,5.53,-0.06,-1.0733,41904.808
000977.SZ,27.75,27.89,27.0,27.43,-0.32,-1.1532,548514.806
000978.SZ,7.23,7.48,6.69,6.69,-0.74,-9.9596,317249.534
000980.SZ,3.92,3.92,3.92,3.92,0.19,5.0938,13846.263
000981.SZ,1.88,1.88,1.81,1.81,-0.1,-5.2356,43780.853
000982.SZ,1.48,1.49,1.43,1.44,-0.06,-4.0,100738.798
000983.SZ,5.63,5.71,5.49,5.65,-0.05,-0.8772,528691.157
000985.SZ,11.81,11.86,11.49,11.67,-0.14,-1.1854,8969.49
000987.SZ,12.9,13.13,12.88,13.06,0.11,0.8494,115723.023
000988.SZ,20.58,20.73,20.15,20.18,-0.48,-2.3233,201722.832
000989.SZ,8.21,8.48,8.18,8.39,0.17,2.0681,68879.574
000990.SZ,13.07,13.26,12.97,13.11,-0.01,-0.0762,55967.796
000993.SZ,7.49,7.56,7.17,7.23,-0.25,-3.3422,137215.062
000995.SZ,19.4,19.66,18.75,19.04,-0.43,-2.2085,236415.183
000996.SZ,10.65,10.73,10.45,10.5,-0.08,-0.7561,81164.852
000997.SZ,13.67,13.79,13.53,13.67,0.01,0.0732,74164.914
000998.SZ,17.0,17.12,16.87,16.9,-0.13,-0.7634,223699.319
000999.SZ,24.17,24.5,24.16,24.47,0.31,1.2831,162636.163
001696.SZ,6.55,6.57,6.46,6.54,-0.03,-0.4566,24834.512
001872.SZ,14.91,14.98,14.76,14.77,-0.08,-0.5387,20660.604
001896.SZ,7.88,7.89,7.36,7.44,-0.61,-7.5776,523707.423
001914.SZ,20.93,21.76,20.8,21.66,0.86,4.1346,116405.402
001965.SZ,7.5,7.55,7.43,7.48,-0.06,-0.7958,21729.643
001979.SZ,11.69,11.79,11.65,11.67,-0.04,-0.3416,80620.964
002001.SZ,37.77,38.71,37.77,38.56,0.66,1.7414,481427.927
002002.SZ,3.67,3.69,3.59,3.65,-0.06,-1.6173,289000.091
002003.SZ,7.06,7.1,6.97,7.09,0.03,0.4249,36134.844
002004.SZ,6.35,6.48,6.05,6.3,-0.18,-2.7778,595956.865
002005.SZ,1.83,1.83,1.72,1.72,-0.09,-4.9724,54598.769
002006.SZ,5.87,5.91,5.72,5.89,0.01,0.1701,29469.188
002007.SZ,44.48,45.29,43.84,44.87,0.47,1.0586,1190836.273
002008.SZ,41.5,41.59,39.9,40.1,-1.61,-3.86,978844.159
002009.SZ,9.78,10.05,9.28,9.5,-0.31,-3.16,154692.977
002010.SZ,6.12,6.18,6.03,6.08,-0.03,-0.491,98118.367
002011.SZ,4.53,4.65,4.53,4.55,-0.06,-1.3015,48608.099
002012.SZ,5.65,5.84,5.64,5.79,0.11,1.9366,68729.007
002013.SZ,10.0,10.0,9.78,9.82,-0.22,-2.1912,259838.752
002014.SZ,9.38,9.39,9.23,9.28,-0.1,-1.0661,20682.145
002015.SZ,7.97,8.08,7.64,7.8,-0.18,-2.2556,133901.594
002016.SZ,6.36,6.4,6.26,6.36,-0.02,-0.3135,11225.547
002017.SZ,10.73,10.94,10.35,10.57,-0.2,-1.857,104417.645
002019.SZ,18.25,18.32,17.83,18.16,-0.04,-0.2198,155402.352
002020.SZ,11.92,11.97,10.88,11.02,-1.07,-8.8503,379329.135
002021.SZ,1.85,1.92,1.82,1.86,0.03,1.6393,22791.863
002022.SZ,17.85,18.28,17.64,18.1,0.14,0.7795,245935.169
002023.SZ,10.6,10.6,10.15,10.22,-0.42,-3.9474,133279.186
002024.SZ,6.86,6.93,6.84,6.88,0.0,0.0,92245.63
002025.SZ,43.29,43.68,41.92,42.8,-0.21,-0.4883,252971.67
002026.SZ,13.52,13.8,13.13,13.36,-0.14,-1.037,181590.828
002027.SZ,10.54,10.57,10.36,10.54,0.06,0.5725,1170330.548
002028.SZ,31.86,32.4,31.48,31.91,-0.01,-0.0313,287990.545
002029.SZ,5.58,5.76,5.52,5.67,0.07,1.25,42129.509
002030.SZ,32.7,34.29,32.48,34.1,1.09,3.302,1226351.338
002031.SZ,1.77,1.77,1.72,1.75,-0.02,-1.1299,31147.831
002032.SZ,68.9,69.74,68.31,69.11,-0.11,-0.1589,74308.11
002033.SZ,6.95,6.98,6.75,6.83,-0.08,-1.1577,63193.893
002034.SZ,18.11,18.29,17.77,17.85,-0.18,-0.9983,42439.588
002035.SZ,7.43,7.53,7.33,7.38,-0.08,-1.0724,55317.524
002036.SZ,10.42,10.66,10.3,10.44,0.26,2.554,287871.157
002037.SZ,6.29,6.31,6.19,6.25,-0.05,-0.7937,13217.856
002038.SZ,10.38,11.19,10.3,11.19,1.02,10.0295,327496.373
002039.SZ,14.45,14.52,14.27,14.37,-0.08,-0.5536,27514.702
002040.SZ,6.16,6.19,6.06,6.1,-0.06,-0.974,15928.727
002041.SZ,15.62,15.89,15.53,15.73,0.07,0.447,105364.611
002042.SZ,5.68,5.74,5.53,5.68,0.02,0.3534,47589.878
002043.SZ,10.89,10.95,10.42,10.59,-0.3,-2.7548,164291.444
002044.SZ,12.2,12.79,12.16,12.66,0.37,3.0106,798415.703
002045.SZ,9.27,9.38,9.1,9.23,-0.09,-0.9657,49550.14
002046.SZ,7.73,7.73,7.49,7.59,-0.1,-1.3004,27826.792
002047.SZ,3.22,3.26,3.12,3.13,-0.11,-3.3951,43932.942
002048.SZ,16.48,16.73,16.2,16.59,0.15,0.9124,75126.841
002049.SZ,111.13,111.98,107.8,111.22,0.9,0.8158,851044.871
002050.SZ,22.11,22.16,21.58,21.93,-0.19,-0.859,290457.558
002051.SZ,6.65,6.67,6.54,6.57,-0.06,-0.905,16194.622
002052.SZ,1.64,1.66,1.63,1.65,0.01,0.6098,7899.02
002053.SZ,7.47,7.53,7.28,7.39,-0.05,-0.672,45481.769
002054.SZ,9.47,9.52,8.96,9.44,-0.46,-4.6465,177617.604
002055.SZ,11.91,12.39,11.63,12.29,0.15,1.2356,287811.44
002056.SZ,13.88,13.88,13.25,13.34,-0.86,-6.0563,464731.191
002057.SZ,6.94,6.97,6.75,6.83,-0.06,-0.8708,51622.093
002058.SZ,9.48,9.5,9.26,9.29,0.03,0.324,8762.407
002059.SZ,5.86,5.87,5.6,5.61,-0.31,-5.2365,63570.648
002060.SZ,3.31,3.33,3.27,3.32,-0.03,-0.8955,77951.709
002061.SZ,5.51,5.65,5.48,5.63,0.08,1.4414,40305.675
002062.SZ,3.95,3.98,3.92,3.96,-0.03,-0.7519,9768.582
002063.SZ,8.86,8.86,8.41,8.43,-0.41,-4.638,223511.034
002064.SZ,12.74,12.84,12.44,12.8,0.27,2.1548,468755.062
002065.SZ,7.38,7.4,7.22,7.24,-0.14,-1.897,143117.438
002066.SZ,9.59,9.67,9.4,9.41,-0.18,-1.877,15340.39
002067.SZ,3.66,3.73,3.64,3.73,0.07,1.9126,69328.544
002068.SZ,7.07,7.11,6.89,6.92,-0.17,-2.3977,148362.722
002069.SZ,3.46,3.46,3.36,3.4,-0.06,-1.7341,19832.913
002071.SZ,0.35,0.38,0.34,0.37,0.02,5.7143,6340.338
002072.SZ,4.25,4.27,4.17,4.25,0.01,0.2358,3508.237
002073.SZ,4.68,4.69,4.51,4.6,-0.08,-1.7094,48729.927
002074.SZ,34.2,34.7,33.25,33.81,-0.39,-1.1404,679920.172
002075.SZ,10.2,10.32,9.78,10.02,-0.12,-1.1834,251110.424
002076.SZ,2.27,2.32,2.23,2.31,0.04,1.7621,22292.568
002077.SZ,6.5,6.58,6.22,6.23,-0.32,-4.8855,68107.501
002078.SZ,14.84,15.42,14.8,15.23,0.4,2.6972,414846.377
002079.SZ,9.37,9.37,9.1,9.15,-0.19,-2.0343,82495.471
002080.SZ,22.74,23.03,22.33,22.45,-0.03,-0.1335,364789.227
002081.SZ,8.87,9.0,8.85,8.91,0.0,0.0,83803.992
002082.SZ,12.46,12.68,12.46,12.56,0.01,0.0797,32104.566
002083.SZ,4.31,4.66,4.31,4.35,0.11,2.5943,137400.451
002084.SZ,7.14,7.19,6.95,7.14,0.0,0.0,103036.721
002085.SZ,5.3,5.39,5.29,5.32,-0.02,-0.3745,59727.13
002086.SZ,1.8,1.81,1.76,1.76,-0.05,-2.7624,12578.844
002087.SZ,3.66,3.76,3.64,3.68,0.1,2.7933,105521.545
002088.SZ,21.45,21.95,21.22,21.66,0.21,0.979,61886.042
002089.SZ,1.6,1.61,1.55,1.56,-0.05,-3.1056,10580.777
