ts_code,adj_factor
000978.SZ,3.133
000980.SZ,2.078
000981.SZ,5.281
000982.SZ,16.841
000983.SZ,8.667
000985.SZ,1.665
000987.SZ,4.151
000988.SZ,10.017
000989.SZ,4.794
000990.SZ,3.12
000993.SZ,1.82
000995.SZ,1.686
000996.SZ,4.059
000997.SZ,10.972
000998.SZ,11.267
000999.SZ,2.031
001696.SZ,24.589
001872.SZ,4.331
001896.SZ,1.387
001914.SZ,8.359
001965.SZ,1.1
001979.SZ,1.161
002001.SZ,28.27
002002.SZ,10.867
002003.SZ,16.144
002004.SZ,19.924
002005.SZ,10.037
002006.SZ,7.733
002007.SZ,41.341
002008.SZ,12.827
002009.SZ,5.361
002010.SZ,8.516
002011.SZ,6.2
002012.SZ,5.213
002013.SZ,29.214
002014.SZ,9.387
002015.SZ,5.792
002016.SZ,6.531
002017.SZ,6.263
002019.SZ,14.673
002020.SZ,9.541
002021.SZ,9.202
002022.SZ,12.184
002023.SZ,10.238
002024.SZ,88.051
002025.SZ,6.529
002026.SZ,3.666
002027.SZ,12.951
002028.SZ,19.758
002029.SZ,9.882
002030.SZ,14.629
002031.SZ,14.861
002032.SZ,8.417
002033.SZ,5.46
002034.SZ,3.373
002035.SZ,16.14
002036.SZ,7.052
002037.SZ,4.125
002038.SZ,21.572
002039.SZ,2.491
002040.SZ,3.004
002041.SZ,13.561
002042.SZ,6.987
002043.SZ,7.24
002044.SZ,9.711
002045.SZ,5.778
002046.SZ,4.938
002047.SZ,3.248
002048.SZ,6.437
002049.SZ,4.412
002050.SZ,14.514
002051.SZ,5.369
002052.SZ,6.818
002053.SZ,2.169
002054.SZ,3.39
002055.SZ,5.984
002056.SZ,8.762
002057.SZ,5.604
002058.SZ,2.386
002059.SZ,2.121
002060.SZ,3.89
002061.SZ,2.234
002062.SZ,9.641
002063.SZ,10.168
002064.SZ,11.161
002065.SZ,30.857
002066.SZ,3.162
002067.SZ,2.755
002068.SZ,5.737
002069.SZ,6.663
002071.SZ,1.537
002072.SZ,1.107
002073.SZ,9.219
002074.SZ,4.508
002075.SZ,2.839
002076.SZ,5.764
002077.SZ,1.47
002078.SZ,8.516
002079.SZ,4.938
002080.SZ,4.833
002081.SZ,29.358
002082.SZ,2.879
002083.SZ,2.484
002084.SZ,2.757
002085.SZ,7.78
002086.SZ,4.127
002087.SZ,2.343
002088.SZ,3.902
002089.SZ,15.968
002090.SZ,5.719
002091.SZ,6.867
002092.SZ,3.384
002093.SZ,12.157
002094.SZ,5.304
002095.SZ,4.417
002096.SZ,4.944
002097.SZ,4.84
002098.SZ,2.329
002099.SZ,7.095
002100.SZ,11.503
002101.SZ,3.97
002102.SZ,9.212
002103.SZ,2.374
002104.SZ,6.535
002105.SZ,1.594
002106.SZ,3.55
002107.SZ,7.633
002108.SZ,16.729
002109.SZ,3.704
002110.SZ,2.047
002111.SZ,3.459
002112.SZ,2.578
002113.SZ,10.891
002114.SZ,1.82
002115.SZ,6.24
002116.SZ,4.418
002117.SZ,5.641
002118.SZ,12.43
002119.SZ,3.76
002120.SZ,6.298
002121.SZ,15.516
002122.SZ,8.472
002123.SZ,7.338
002124.SZ,11.188
002125.SZ,4.128
002126.SZ,5.522
002127.SZ,10.043
002128.SZ,2.823
002129.SZ,4.225
002130.SZ,20.49
002131.SZ,43.759
002132.SZ,5.845
002133.SZ,2.997
002134.SZ,1.251
002135.SZ,3.121
002136.SZ,2.071
002137.SZ,3.301
002138.SZ,6.662
002139.SZ,16.807
002140.SZ,8.624
002141.SZ,8.059
002142.SZ,2.089
002144.SZ,1.119
002145.SZ,3.041
002146.SZ,11.267
002147.SZ,3.44
002148.SZ,10.451
002149.SZ,3.164
002150.SZ,5.698
002151.SZ,5.814
002152.SZ,16.391
002153.SZ,17.346
002154.SZ,11.69
002155.SZ,2.69
002156.SZ,2.796
002157.SZ,15.398
002158.SZ,3.963
002159.SZ,1.522
002160.SZ,2.11
002161.SZ,10.704
002162.SZ,2.206
002163.SZ,4.664
002164.SZ,3.154
002165.SZ,7.545
002166.SZ,7.17
002167.SZ,7.859
002168.SZ,14.975
002169.SZ,7.613
002170.SZ,8.073
002171.SZ,5.067
002172.SZ,3.012
002173.SZ,3.043
002174.SZ,3.112
002175.SZ,6.466
002176.SZ,12.957
002177.SZ,8.827
002178.SZ,6.538
002179.SZ,7.784
002180.SZ,4.801
002181.SZ,2.197
002182.SZ,3.294
002183.SZ,14.921
002184.SZ,2.165
002185.SZ,10.394
002186.SZ,2.377
002187.SZ,2.372
002188.SZ,1.978
002189.SZ,1.029
002190.SZ,2.636
002191.SZ,6.272
002192.SZ,3.047
002193.SZ,2.067
002194.SZ,3.644
002195.SZ,29.747
002196.SZ,2.797
002197.SZ,4.09
002199.SZ,2.632
002200.SZ,1.815
002201.SZ,3.76
002202.SZ,7.803
002203.SZ,3.735
002204.SZ,4.791
002205.SZ,2.098
002206.SZ,10.708
002207.SZ,2.053
002208.SZ,5.345
002209.SZ,1.555
002210.SZ,10.352
002211.SZ,1.524
002212.SZ,3.256
002213.SZ,2.098
002214.SZ,4.202
002215.SZ,7.914
002216.SZ,8.359
002217.SZ,5.723
002218.SZ,5.573
002219.SZ,16.233
002221.SZ,4.211
002222.SZ,2.622
002223.SZ,8.984
002224.SZ,6.962
002225.SZ,1.862
002226.SZ,9.046
002227.SZ,2.077
002228.SZ,9.673
002229.SZ,5.186
002230.SZ,13.468
002231.SZ,3.094
002232.SZ,3.126
002233.SZ,2.781
002234.SZ,2.136
002235.SZ,4.574
002236.SZ,42.637
002237.SZ,8.251
002238.SZ,3.177
002239.SZ,9.08
002240.SZ,1.617
002241.SZ,23.011
002242.SZ,4.699
002243.SZ,1.71
002244.SZ,5.948
002245.SZ,13.826
002246.SZ,1.604
002247.SZ,6.487
002248.SZ,2.028
002249.SZ,11.915
002250.SZ,6.022
002251.SZ,4.822
002252.SZ,24.126
002253.SZ,3.823
002254.SZ,5.682
002255.SZ,4.157
002256.SZ,15.226
002258.SZ,3.678
002259.SZ,2.585
002261.SZ,10.138
002262.SZ,8.493
002263.SZ,4.525
002264.SZ,4.725
002265.SZ,1.003
002266.SZ,10.98
002267.SZ,2.507
002268.SZ,8.506
002269.SZ,4.487
002270.SZ,2.133
002271.SZ,33.441
002272.SZ,3.415
002273.SZ,13.93
002274.SZ,3.241
002275.SZ,1.684
002276.SZ,3.783
002277.SZ,6.334
002278.SZ,2.172
002279.SZ,9.994
002280.SZ,13.509
002281.SZ,3.261
002282.SZ,2.119
002283.SZ,4.182
002284.SZ,6.476
002285.SZ,14.584
002286.SZ,3.56
002287.SZ,1.512
002288.SZ,7.455
002289.SZ,1.524
002290.SZ,2.657
002291.SZ,1.726
002292.SZ,7.912
002293.SZ,6.957
002294.SZ,11.215
002295.SZ,1.582
002296.SZ,5.133
002297.SZ,3.015
002298.SZ,3.136
002299.SZ,2.458
002300.SZ,6.572
002301.SZ,4.81
002302.SZ,4.125
002303.SZ,9.299
002304.SZ,4.221
002305.SZ,3.356
002306.SZ,4.174
002307.SZ,4.193
002308.SZ,4.334
002309.SZ,3.772
002310.SZ,46.53
002311.SZ,6.933
002312.SZ,18.207
002313.SZ,2.686
002314.SZ,2.295
002315.SZ,3.331
002316.SZ,3.336
002317.SZ,10.584
002318.SZ,5.641
002319.SZ,2.051
002320.SZ,8.841
002321.SZ,2.061
002322.SZ,4.718
002323.SZ,4.298
002324.SZ,6.746
002325.SZ,8.835
002326.SZ,5.729
002327.SZ,10.109
002328.SZ,2.834
002329.SZ,5.873
002330.SZ,2.048
002331.SZ,5.396
002332.SZ,2.554
002333.SZ,3.72
002334.SZ,11.901
002335.SZ,5.755
002336.SZ,1.19
002337.SZ,5.232
002338.SZ,3.245
002339.SZ,5.479
002340.SZ,23.868
002341.SZ,8.319
002342.SZ,2.481
002343.SZ,3.201
002344.SZ,4.387
002345.SZ,6.8
002346.SZ,2.182
002347.SZ,3.843
002348.SZ,6.867
002349.SZ,7.83
002350.SZ,4.83
002351.SZ,7.003
002352.SZ,3.494
002353.SZ,8.187
002354.SZ,2.874
002355.SZ,2.086
002356.SZ,5.513
002357.SZ,4.325
002358.SZ,8.502
002360.SZ,6.838
002361.SZ,8.927
002362.SZ,2.0
002363.SZ,2.555
002364.SZ,6.453
002365.SZ,3.322
002366.SZ,2.332
002367.SZ,7.815
002368.SZ,5.413
002369.SZ,4.293
002370.SZ,3.53
002371.SZ,4.748
002372.SZ,8.095
002373.SZ,4.09
002374.SZ,6.631
002375.SZ,6.124
002376.SZ,4.527
002377.SZ,4.336
002378.SZ,2.09
002379.SZ,8.017
002380.SZ,3.269
002381.SZ,5.406
002382.SZ,6.505
002383.SZ,4.798
002384.SZ,7.31
002385.SZ,10.3
002386.SZ,1.788
002387.SZ,3.558
002388.SZ,3.794
002389.SZ,6.164
002390.SZ,10.279
002391.SZ,5.631
002392.SZ,8.421
002393.SZ,1.168
002394.SZ,4.538
002395.SZ,3.224
002396.SZ,3.238
002397.SZ,12.719
002398.SZ,6.169
002399.SZ,3.718
002400.SZ,18.468
002401.SZ,5.872
002402.SZ,12.14
002403.SZ,1.448
002404.SZ,4.967
002405.SZ,4.005
002406.SZ,3.8
002407.SZ,5.603
002408.SZ,6.162
002409.SZ,3.15
002410.SZ,12.636
002411.SZ,4.166
002412.SZ,7.347
002413.SZ,4.964
002414.SZ,5.41
002415.SZ,21.041
002416.SZ,2.773
002417.SZ,2.293
002418.SZ,4.997
002419.SZ,4.107
002420.SZ,1.018
002421.SZ,17.944
002422.SZ,6.485
002423.SZ,1.021
002424.SZ,10.813
002425.SZ,4.415
002426.SZ,5.267
002427.SZ,2.049
002428.SZ,5.289
002429.SZ,8.958
002430.SZ,2.193
002431.SZ,9.844
002432.SZ,3.063
002433.SZ,4.21
002434.SZ,6.738
002435.SZ,4.236
002436.SZ,13.084
002437.SZ,15.848
002438.SZ,4.136
002439.SZ,8.213
002440.SZ,5.014
002441.SZ,4.669
002442.SZ,2.536
002443.SZ,3.679
002444.SZ,4.389
002445.SZ,7.212
002446.SZ,4.972
002447.SZ,18.403
002448.SZ,5.613
002449.SZ,3.02
002450.SZ,14.677
002451.SZ,3.062
002452.SZ,5.573
002453.SZ,4.132
002454.SZ,2.868
002455.SZ,6.163
002456.SZ,20.443
002457.SZ,2.579
002458.SZ,8.292
002459.SZ,1.324
002460.SZ,9.572
002461.SZ,2.104
002462.SZ,1.668
002463.SZ,2.768
002464.SZ,3.797
002465.SZ,6.746
002466.SZ,7.754
002467.SZ,11.137
002468.SZ,2.242
002469.SZ,8.26
002470.SZ,4.269
002471.SZ,6.925
002472.SZ,5.137
002473.SZ,2.077
002474.SZ,6.253
002475.SZ,33.729
002476.SZ,5.236
002478.SZ,2.493
002479.SZ,3.88
002480.SZ,4.104
002481.SZ,18.411
002482.SZ,8.477
002483.SZ,3.142
002484.SZ,4.697
002485.SZ,2.957
002486.SZ,4.183
002487.SZ,4.613
002488.SZ,6.163
002489.SZ,11.481
002490.SZ,2.044
002491.SZ,4.203
002492.SZ,3.202
002493.SZ,9.936
002494.SZ,2.702
002495.SZ,9.673
002496.SZ,14.262
002497.SZ,6.602
002498.SZ,7.932
002499.SZ,2.575
002500.SZ,1.159
002501.SZ,7.536
002502.SZ,6.66
002503.SZ,37.956
002504.SZ,3.395
002505.SZ,15.185
002506.SZ,5.097
002507.SZ,5.519
002508.SZ,6.724
002510.SZ,4.338
002511.SZ,8.056
002512.SZ,6.929
002513.SZ,2.981
002514.SZ,6.661
002515.SZ,10.971
002516.SZ,8.45
002517.SZ,6.234
002518.SZ,5.519
002519.SZ,11.513
002520.SZ,8.803
002521.SZ,3.38
002522.SZ,8.479
002523.SZ,7.38
002524.SZ,4.586
002526.SZ,5.979
002527.SZ,2.749
002528.SZ,6.444
002529.SZ,1.299
002530.SZ,3.346
002531.SZ,8.017
002532.SZ,7.016
002533.SZ,4.606
002534.SZ,2.188
002535.SZ,3.529
002536.SZ,5.202
002537.SZ,6.888
002538.SZ,4.491
002539.SZ,5.956
002540.SZ,8.221
002541.SZ,3.164
002542.SZ,18.699
002543.SZ,4.775
002544.SZ,6.306
002545.SZ,5.162
002546.SZ,9.809
002547.SZ,6.12
002548.SZ,4.858
002549.SZ,8.321
002550.SZ,9.538
002551.SZ,8.309
002552.SZ,3.135
002553.SZ,4.606
002554.SZ,7.108
002555.SZ,11.978
002556.SZ,5.362
002557.SZ,3.226
002558.SZ,4.178
002559.SZ,6.961
002560.SZ,4.231
002561.SZ,1.379
002562.SZ,6.751
002563.SZ,5.378
002564.SZ,3.245
002565.SZ,8.356
002566.SZ,3.086
002567.SZ,5.179
002568.SZ,4.466
002569.SZ,1.558
002570.SZ,2.579
002571.SZ,4.022
002572.SZ,18.41
002573.SZ,7.848
002574.SZ,2.339
002575.SZ,4.485
002576.SZ,1.356
002577.SZ,2.343
002578.SZ,5.152
002579.SZ,3.833
002580.SZ,4.148
002581.SZ,2.887
002582.SZ,4.188
002583.SZ,5.622
002584.SZ,2.68
002585.SZ,3.684
002586.SZ,6.195
002587.SZ,7.383
002588.SZ,9.472
002589.SZ,9.433
002590.SZ,4.588
002591.SZ,3.465
002592.SZ,2.572
002593.SZ,3.291
002594.SZ,1.021
002595.SZ,4.679
002596.SZ,4.958
002597.SZ,4.908
002598.SZ,2.386
002599.SZ,3.483
002600.SZ,4.257
002601.SZ,9.344
002602.SZ,9.618
002603.SZ,2.728
002605.SZ,4.408
002606.SZ,4.168
002607.SZ,8.245
002608.SZ,2.604
002609.SZ,5.469
002610.SZ,12.505
002611.SZ,6.946
002612.SZ,2.408
002613.SZ,3.652
002614.SZ,4.851
002615.SZ,5.179
002616.SZ,4.503
002617.SZ,7.822
002618.SZ,3.02
002619.SZ,6.141
002620.SZ,4.03
002621.SZ,8.201
002622.SZ,5.812
002623.SZ,1.021
002624.SZ,3.119
002625.SZ,6.637
002626.SZ,7.734
002627.SZ,3.258
002628.SZ,3.81
002629.SZ,3.727
002630.SZ,5.905
002631.SZ,4.233
002632.SZ,5.782
002633.SZ,1.523
002634.SZ,6.96
002635.SZ,4.746
002636.SZ,2.623
002637.SZ,4.404
002638.SZ,5.047
002639.SZ,3.088
002640.SZ,12.264
002641.SZ,6.084
002642.SZ,4.631
002643.SZ,5.658
002644.SZ,5.596
002645.SZ,5.413
002646.SZ,1.087
002647.SZ,3.403
002648.SZ,4.358
002649.SZ,4.942
002650.SZ,8.036
002651.SZ,3.037
002652.SZ,5.035
002653.SZ,3.179
002654.SZ,6.222
002655.SZ,3.042
002656.SZ,5.299
002657.SZ,3.637
002658.SZ,4.694
002659.SZ,2.029
002660.SZ,2.648
002661.SZ,3.415
002662.SZ,4.736
002663.SZ,8.163
002664.SZ,3.112
002665.SZ,13.801
002666.SZ,4.62
002667.SZ,3.469
002668.SZ,4.941
002669.SZ,2.116
002670.SZ,2.333
002671.SZ,4.073
002672.SZ,6.085
002673.SZ,2.51
002674.SZ,1.239
002675.SZ,5.028
002676.SZ,4.681
002677.SZ,3.938
002678.SZ,2.742
002679.SZ,1.784
002681.SZ,10.623
002682.SZ,2.606
002683.SZ,2.694
002684.SZ,6.645
002685.SZ,2.895
002686.SZ,4.684
002687.SZ,4.14
002688.SZ,5.773
002689.SZ,3.753
002690.SZ,3.792
002691.SZ,1.723
002692.SZ,4.155
002693.SZ,3.503
002694.SZ,4.097
002695.SZ,4.191
002696.SZ,3.632
002697.SZ,7.202
002698.SZ,2.699
002699.SZ,8.272
002700.SZ,5.93
002701.SZ,9.162
002702.SZ,7.042
002703.SZ,2.546
002705.SZ,1.936
002706.SZ,11.73
002707.SZ,12.155
002708.SZ,3.14
002709.SZ,6.973
002712.SZ,5.207
002713.SZ,3.755
002714.SZ,12.96
002715.SZ,1.504
002716.SZ,3.816
002717.SZ,13.487
002718.SZ,2.55
002719.SZ,1.62
002721.SZ,3.046
002722.SZ,1.047
002723.SZ,2.044
002724.SZ,1.905
002725.SZ,2.698
002726.SZ,4.58
002727.SZ,2.141
002728.SZ,2.265
002729.SZ,1.013
002730.SZ,2.268
002731.SZ,1.724
002732.SZ,1.072
002733.SZ,2.361
002734.SZ,3.165
002735.SZ,1.733
002736.SZ,1.106
002737.SZ,4.743
002738.SZ,1.53
002739.SZ,3.04
002740.SZ,3.031
002741.SZ,3.058
002742.SZ,4.7
002743.SZ,2.055
002745.SZ,2.098
002746.SZ,2.734
002747.SZ,6.159
002748.SZ,2.115
002749.SZ,6.413
002750.SZ,6.155
002751.SZ,2.015
002752.SZ,1.988
002753.SZ,3.538
002755.SZ,1.747
002756.SZ,2.078
002757.SZ,2.348
002758.SZ,3.872
002759.SZ,2.545
002760.SZ,1.004
002761.SZ,2.959
002762.SZ,5.501
002763.SZ,2.086
002765.SZ,2.042
002766.SZ,2.016
002767.SZ,1.52
002768.SZ,3.058
002769.SZ,5.09
002770.SZ,3.859
002771.SZ,2.662
002772.SZ,2.131
002773.SZ,1.998
002774.SZ,1.019
002775.SZ,4.261
002776.SZ,4.6
002777.SZ,3.766
002778.SZ,1.011
002779.SZ,1.512
002780.SZ,1.956
002781.SZ,1.015
002782.SZ,2.599
002783.SZ,4.215
002785.SZ,1.002
002786.SZ,3.027
002787.SZ,2.125
002788.SZ,2.866
002789.SZ,1.726
002790.SZ,2.821
002791.SZ,1.539
002792.SZ,2.282
002793.SZ,3.561
002795.SZ,2.105
002796.SZ,2.316
002797.SZ,1.622
002798.SZ,2.985
002799.SZ,1.823
002800.SZ,1.013
002801.SZ,2.704
002802.SZ,1.104
002803.SZ,2.976
002805.SZ,1.51
002806.SZ,1.728
002807.SZ,1.294
002808.SZ,2.273
002809.SZ,2.642
002810.SZ,1.968
002811.SZ,1.58
002812.SZ,3.495
002813.SZ,1.01
002815.SZ,2.129
002816.SZ,1.005
002817.SZ,1.726
002818.SZ,1.891
002819.SZ,1.311
002820.SZ,1.69
002821.SZ,2.028
002822.SZ,2.051
002823.SZ,2.086
002824.SZ,1.519
002825.SZ,1.482
002826.SZ,1.012
002827.SZ,1.615
002828.SZ,1.732
002829.SZ,2.006
002830.SZ,2.063
002831.SZ,2.287
002832.SZ,5.175
002833.SZ,1.663
002835.SZ,2.022
002836.SZ,2.111
002837.SZ,3.775
002838.SZ,4.927
002839.SZ,1.074
002840.SZ,2.42
