date,close,high,low,open,preclose,pctChg,volume,amount
1997-03-18,1162.63,1177.02,1148.08,1164.96,1158.48,0.35823,1050779300,11991783424.0
1997-03-19,1161.27,1170.4,1156.19,1167.04,1162.63,-0.116975,807192800,9403520000.0
1997-03-20,1120.72,1168.49,1119.67,1162.26,1161.27,-3.4918709999999997,757637300,8328923648.0
1997-03-21,1167.17,1167.21,1116.59,1116.72,1120.72,4.144664,738373800,8497257984.0
1997-03-24,1191.73,1196.64,1181.33,1186.95,1167.17,2.104229,1088861800,12424952832.0
1997-03-25,1197.84,1201.62,1180.88,1198.16,1191.73,0.512699,900646900,10318559232.0
1997-03-26,1215.31,1215.47,1201.17,1204.21,1197.84,1.458466,887276600,9614034944.0
1997-03-27,1214.26,1228.24,1202.77,1220.55,1215.31,-0.08640199999999999,968773600,10661140480.0
1997-03-28,1202.67,1219.04,1199.53,1213.81,1214.26,-0.9544879999999999,753268000,8368521728.0
1997-03-31,1234.62,1234.96,1210.0,1210.02,1202.67,2.6565849999999998,850574900,9048963072.0
1997-04-01,1241.03,1246.31,1234.25,1243.87,1234.62,0.519191,836788800,8328385536.0
1997-04-02,1233.85,1249.57,1232.31,1246.41,1241.03,-0.5785560000000001,758324000,8104114688.0
1997-04-03,1246.03,1246.18,1222.56,1233.82,1233.85,0.987158,689152300,7923153920.0
1997-04-04,1260.96,1269.74,1251.6,1258.07,1246.03,1.1982,1016185200,12297445376.0
1997-04-07,1276.41,1276.57,1252.75,1259.59,1260.96,1.225263,1009888500,11880395776.0
1997-04-08,1247.26,1278.3,1246.72,1277.06,1276.41,-2.2837509999999996,805377400,9738362880.0
1997-04-09,1286.85,1286.91,1251.56,1251.57,1247.26,3.174155,960450400,11978369024.0
1997-04-10,1281.89,1299.74,1279.49,1293.26,1286.85,-0.385434,1086132800,13078689792.0
1997-04-11,1278.53,1283.56,1251.01,1279.34,1281.89,-0.262112,922372200,11052692480.0
1997-04-14,1316.92,1325.67,1293.98,1293.98,1278.53,3.002668,1411947300,15454527488.0
1997-04-15,1324.96,1326.38,1298.18,1318.57,1316.92,0.610509,1032030200,11510269952.0
1997-04-16,1327.78,1338.42,1318.16,1334.31,1324.96,0.212842,969708400,11061576704.0
1997-04-17,1323.37,1331.18,1319.76,1323.42,1327.78,-0.332136,780300400,8753417216.0
1997-04-18,1338.03,1338.85,1305.96,1325.23,1323.37,1.10778,880109800,9889556480.0
1997-04-21,1362.08,1365.22,1350.8,1355.56,1338.03,1.7974130000000001,1237789000,13455767552.0
1997-04-22,1365.5,1368.88,1354.45,1362.98,1362.08,0.25109000000000004,1085772100,11914352640.0
1997-04-23,1378.84,1380.36,1368.65,1370.05,1365.5,0.976929,1052266100,13472004096.0
1997-04-24,1380.28,1386.52,1356.52,1370.17,1378.84,0.10444,1003540600,13176252416.0
1997-04-25,1364.98,1386.27,1363.98,1382.93,1380.28,-1.108474,1044457000,13882035200.0
1997-04-28,1352.0,1381.56,1346.26,1372.26,1364.98,-0.9509280000000001,922612000,12072769536.0
1997-04-29,1376.77,1376.82,1335.76,1354.0,1352.0,1.8321020000000001,834953200,10077060096.0
1997-04-30,1393.75,1396.48,1376.46,1385.3,1376.77,1.23332,833159800,10347570176.0
1997-05-05,1448.93,1448.99,1398.05,1398.14,1393.75,3.959107,1028834600,12890553344.0
1997-05-06,1482.99,1483.5,1459.68,1462.03,1448.93,2.350696,1158537300,15976225792.0
1997-05-07,1495.46,1499.62,1464.86,1495.22,1482.99,0.840867,1144278900,15637243904.0
1997-05-08,1405.18,1504.26,1401.59,1496.98,1495.46,-6.036932,1144965300,15588909056.0
1997-05-09,1467.23,1469.08,1394.42,1412.9,1405.18,4.415799,960198400,13238873088.0
1997-05-12,1500.4,1510.18,1486.45,1490.78,1467.23,2.260725,1316287800,15982974976.0
1997-05-13,1464.28,1501.25,1436.21,1501.25,1500.4,-2.4073580000000003,1080846000,13042277376.0
1997-05-14,1379.22,1447.67,1378.03,1447.61,1464.28,-5.8090019999999996,807545900,10436190208.0
1997-05-15,1417.67,1425.3,1360.23,1371.19,1379.22,2.7878130000000003,674249200,9072862208.0
1997-05-16,1315.92,1394.21,1287.07,1309.6,1417.67,-7.177269,976828400,12486788096.0
1997-05-19,1344.61,1350.58,1316.13,1330.79,1315.92,2.1802189999999997,561368300,6869278208.0
1997-05-20,1381.12,1386.37,1351.23,1351.66,1344.61,2.715286,535449800,7286682624.0
1997-05-21,1354.88,1389.6,1340.29,1386.85,1381.12,-1.899907,565277600,7877208064.0
1997-05-22,1235.22,1300.98,1232.2,1248.97,1354.88,-8.831781,667319400,8574500864.0
1997-05-23,1254.27,1263.52,1225.8,1238.69,1235.22,1.542239,539099000,7602164736.0
1997-05-26,1251.55,1275.3,1213.24,1268.59,1254.27,-0.21685700000000002,586391800,8336778752.0
1997-05-27,1281.74,1281.75,1253.25,1258.38,1251.55,2.412204,537760800,7523495936.0
1997-05-28,1270.35,1288.74,1265.57,1283.0,1281.74,-0.8886370000000001,480878200,7113637888.0
1997-05-29,1263.35,1282.85,1262.57,1267.52,1270.35,-0.551029,466189700,6385676288.0
1997-05-30,1285.18,1285.39,1254.62,1261.29,1263.35,1.7279520000000002,393774600,5466626048.0
1997-06-02,1336.28,1336.42,1302.16,1302.82,1285.18,3.9760949999999995,634405800,8578887680.0
1997-06-03,1338.76,1344.64,1313.46,1341.68,1336.28,0.185588,705919600,9995071488.0
1997-06-04,1361.19,1363.71,1344.59,1345.38,1338.76,1.6754259999999999,716713700,10386087936.0
1997-06-05,1360.23,1369.51,1346.97,1362.19,1361.19,-0.070524,602559400,9190508544.0
1997-06-06,1275.3,1314.73,1254.27,1271.31,1360.23,-6.243792,921891500,13058514944.0
1997-06-09,1274.92,1282.75,1255.67,1275.25,1275.3,-0.029797000000000008,348236600,4707606016.0
1997-06-10,1241.74,1285.04,1239.86,1278.99,1274.92,-2.60252,275090100,3575955456.0
1997-06-11,1220.4,1244.01,1175.71,1239.5,1241.74,-1.7185540000000001,367009800,4622822912.0
1997-06-12,1212.77,1229.64,1211.8,1224.47,1220.4,-0.625205,291234500,3449201664.0
1997-06-13,1243.98,1244.24,1154.97,1154.98,1212.77,2.573444,454499700,5551122944.0
1997-06-16,1261.47,1269.63,1255.77,1255.77,1243.98,1.4059700000000002,484055200,6258707968.0
1997-06-17,1245.93,1263.9,1245.34,1260.41,1261.47,-1.23189,360459500,4267129344.0
1997-06-18,1232.68,1254.9,1230.3,1252.02,1245.93,-1.0634629999999998,328471900,3992862464.0
1997-06-19,1230.74,1250.64,1227.25,1233.68,1232.68,-0.157386,308720700,4012370432.0
1997-06-20,1291.2,1292.32,1244.0,1244.0,1230.74,4.912488,484067000,6544560640.0
1997-06-23,1283.5,1322.98,1265.18,1313.24,1291.2,-0.596341,621643700,9060128768.0
1997-06-24,1303.93,1304.05,1283.72,1287.19,1283.5,1.5917459999999999,414551200,5712507904.0
1997-06-25,1297.59,1311.2,1293.35,1309.34,1303.93,-0.486229,444195700,6130002944.0
1997-06-26,1284.46,1295.15,1280.85,1295.11,1297.59,-1.011876,410607900,5216910336.0
1997-06-27,1250.27,1291.98,1246.93,1287.92,1284.46,-2.661814,563251000,8350718976.0
1997-07-02,1199.06,1261.57,1147.33,1255.91,1250.27,-4.095912,392386100,5649594880.0
1997-07-03,1150.62,1194.68,1149.94,1194.68,1199.06,-4.039836,373727100,4686329344.0
1997-07-04,1159.34,1163.25,1124.78,1138.92,1150.62,0.75785,444542000,5035910144.0
1997-07-07,1096.82,1163.45,1085.57,1161.71,1159.34,-5.392725,352613300,4145645056.0
1997-07-08,1109.67,1115.43,1066.04,1092.8,1096.82,1.171578,367520100,4299877888.0
1997-07-09,1120.84,1122.67,1104.09,1113.64,1109.67,1.0065979999999999,321446500,3476656384.0
1997-07-10,1120.15,1137.87,1115.21,1121.26,1120.84,-0.061555999999999986,335419000,3583109376.0
1997-07-11,1154.92,1155.06,1114.4,1116.42,1120.15,3.10405,396597400,4611333632.0
1997-07-14,1185.72,1185.78,1158.45,1163.29,1154.92,2.666845,557316400,6522437632.0
1997-07-15,1200.11,1201.21,1180.19,1189.47,1185.72,1.21361,572759600,6440764928.0
1997-07-16,1190.83,1204.86,1184.45,1201.6,1200.11,-0.773265,527363000,6246713856.0
1997-07-17,1197.23,1203.5,1180.93,1188.27,1190.83,0.537442,457871800,5560614912.0
