ts_code,name,result_2019,result_2020
000622.SZ,恒立实业,-0.5,-0.18269230769230774
000627.SZ,天茂集团,-0.2951457167201028,-0.3254263800136868
000632.SZ,三木集团,-0.15061728395061721,-0.23042505592841162
000665.SZ,湖北广电,-0.26196906358437283,-0.30536736865409286
000666.SZ,经纬纺机,-0.27640909448186524,-0.17014017491980066
000667.SZ,美好置业,-0.2749003984063745,-0.3568904593639576
000669.SZ,*ST金鸿,-0.6289517470881864,-0.05907172995780601
000673.SZ,*ST当代,-0.569937369519833,-0.30405405405405406
000676.SZ,智度股份,-0.16065406757230635,-0.20802272692141213
000678.SZ,襄阳轴承,-0.07722007722007715,-0.1464285714285714
000681.SZ,视觉中国,-0.4248393070398252,-0.16152553759268265
000687.SZ,*ST华讯,-0.7752043596730245,-0.5747422680412371
000688.SZ,国城矿业,-0.22482638888888892,-0.4551555826723612
000695.SZ,滨海能源,-0.43454935622317603,-0.287837837837838
000697.SZ,炼石航空,-0.4184738955823293,-0.21645021645021648
000707.SZ,ST双环,-0.10367892976588623,-0.03249097472924164
000710.SZ,贝瑞基因,-0.029233870967742045,-0.1966073414905451
000711.SZ,京蓝科技,-0.6252045826513912,-0.386058981233244
000726.SZ,鲁泰A,-0.3248610679740884,-0.2696637808455876
000732.SZ,泰禾集团,-0.6190292862772097,-0.4560327198364007
000735.SZ,罗牛山,-0.2598110866030877,-0.17119986931307699
000750.SZ,国海证券,-0.12633474398829417,-0.01636873699178869
000755.SZ,山西路桥,-0.2905982905982907,-0.10270270270270289
000757.SZ,浩物股份,-0.2316831683168317,-0.020202020202020228
000766.SZ,通化金马,-0.36443148688046645,-0.245674740484429
000782.SZ,美达股份,-0.23037571419400424,-0.015083246684895047
000793.SZ,华闻集团,-0.21864951768488744,-0.19
000802.SZ,北京文化,-0.5100460108125007,-0.4554455445544554
000803.SZ,北清环能,-0.04706853839801826,-0.15827862873814758
000809.SZ,铁岭新城,-0.24279835390946508,-0.11961722488038265
000813.SZ,德展健康,-0.5288985823336968,-0.14285714285714285
000815.SZ,美利云,-0.2832116788321168,-0.3606770833333333
000819.SZ,岳阳兴长,-0.26892979245087534,-0.17781056370267975
000826.SZ,启迪环境,-0.4638553575774926,-0.31757575757575757
000835.SZ,*ST长动,-0.5291375291375291,-0.4510869565217391
000836.SZ,富通信息,-0.4621026894865524,-0.46987951807228917
000839.SZ,中信国安,-0.42977528089887646,-0.3493589743589745
000852.SZ,石化机械,-0.22815173403001904,-0.14541832669322705
000856.SZ,冀东装备,-0.5306267806267806,-0.3998178506375228
000861.SZ,海印股份,-0.1251702450439063,-0.001662245713951657
000882.SZ,华联股份,-0.20614035087719287,-0.09950248756218899
000889.SZ,中嘉博创,-0.11800446717023456,-0.018235485967273497
000892.SZ,欢瑞世纪,-0.4616977225672878,-0.4077448747152619
000897.SZ,津滨发展,-0.08860759493670886,-0.11475409836065574
000901.SZ,航天科技,-0.11309692212764696,-0.08069305720898905
000912.SZ,泸天化,-0.1434782608695651,-0.012531328320802013
000917.SZ,电广传媒,-0.2452272205788419,-0.1920009609601634
000926.SZ,福星股份,-0.21756187037232658,-0.04942994614472782
000952.SZ,广济药业,-0.09948233563725573,-0.1538532134855722
000965.SZ,天保基建,-0.315621893282389,-0.13534713684741825
000968.SZ,蓝焰控股,-0.38799371089092194,-0.2333782747772756
000972.SZ,*ST中基,-0.3789473684210526,-0.4
000985.SZ,大庆华科,-0.07647148345747658,-0.09498477677290097
001979.SZ,招商蛇口,-0.26987955301214134,-0.24602571162846407
002016.SZ,世荣兆业,-0.23194807002132015,-0.031343283582089564
002021.SZ,ST中捷,-0.37894736842105264,-0.10152284263959385
002023.SZ,海特高新,-0.07405007538936718,-0.36272519189834485
002024.SZ,苏宁易购,-0.3217027541843981,-0.21185825630531108
002031.SZ,巨轮智能,-0.09374999999999994,-0.11224489795918369
002035.SZ,华帝股份,-0.10026567346800601,-0.24739253545689213
002047.SZ,宝鹰股份,-0.5374214005481808,-0.20698254364089766
002051.SZ,中工国际,-0.39194107514792476,-0.17683464377796476
002052.SZ,*ST同洲,-0.5857843137254902,-0.37407407407407417
002058.SZ,*ST威尔,-0.2839785106859722,-0.48512585812356984
002071.SZ,长城退,-0.9252136752136751,-0.8565573770491803
